DF Topic #,DF Topic Name,Tally,Tags
759,"Loci problems involving parabolas, ellipses and hyperbolae",,
760,Translated parabolas,,
761,General Cartesian equations of conics and their rotation,,
762,Conic sections in polar form,,
763,Solving cubic and quartic inequalities and inequalities involving fractions,,
764,Taylor series,,
765,Lagrange error bound (Taylor remainder theorem),,
766,Series solution of differential equations using Taylor series,,
767,Leibnitz's theorem,,
768,L'Hopital's rule,,
769,Tangent half-angle substitution (t-formulae or Weierstrass substitution) for integration,,
770,Slope fields/tangent fields,,
771,Euler's method for numerical solutions to first-order differential equations,,
772,Midpoint method for numerical solutions to first-order differential equations,,
773,Runge-Kutta methods,,
774,Euler's method for numerical solutions to second order differential equations,,
775,Mid-ordinate rule/midpoint rule,,
776,Simpson's rule,,
777,Lagrange's interpolating polynomial,,
778,Newton's forward difference interpolation method,,
779,Angle bisector theorem,,
780,Apollonius' circle theorem,,
781,Menelaus' theorem,,
782,Ceva's theorem,,
783,Ptolemy's theorem for cyclic quadrilaterals,,
784,Substitutions to reduce a differential equation,,
785,Division theorem and Euclidean algorithm,,
786,Bezout's Identity,,
787,Modular arithmetic,,
788,Equivalence relations and equivalence classes,,
789,Partial orders,,
790,Wilson's theorem,,
791,Solving congruence equations,,
792,The Chinese remainder theorem,,
793,Fermat's little theorem,,
794,Euler's totient function and Euler's theorem,,
795,Methods in cryptography,,
796,Non-linear Diophantine equations,,
797,Pell's equation,,
798,Pythagorean triples,,
799,Axioms of a group,,
800,Cayley tables and cyclic groups,,
801,Other symmetries and frieze patterns,,
802,"Orders of groups, orders of elements and subgroups",,
803,Isomorphism,,
804,More complex loci in an Argand diagram,,
805,Elementary transformations from one complex plane to another,,
806,"Fibonacci-like sequences, steady-states and ratio between terms",,
807,Solutions of recurrence relations,,
808,Solutions of second-order recurrence relations,,
809,Proof by induction with recurrence relations,,
810,"Eigenvalues, eigenvectors and diagonal form",,
811,Homogeneous coupled first-order linear differential equations (using eigenvalues),,
812,Sketching phase portraits,,
813,The Cayley-Hamilton theorem,,
814,Set difference and symmetric difference,,
815,Cross products of sets,,
816,Power sets,,
817,De Morgan's law,,
818,"Vector spaces, spans of vectors, subspaces and the basis of a vector space",,
819,Null spaces (kernels),,
820,Column spaces (images),,
821,Dimensions of spaces,,
822,Reduction formulae,,
823,"Arc length for Cartesian, parametric or polar equations",,
824,Area of surface of revolution,,
825,Equations of curved surfaces,,
826,Partial derivatives,,
827,Gradient vector ▽f,,
828,Stationary points and tangent planes on 3D surfaces,,
829,Envelopes,,
